Namespace,Key,English Text,Spanish,French,German,Chinese,Hindi,Urdu,Arabic,Japanese,Korean,Russian
admin,spokenLanguages,Spoken languages,Idiomas hablados,Langues parlées,Gesprochene Sprachen,??,???? ???? ???? ??????,???? ???? ???? ??????,?????? ????????,????,?? ??,??????????? ?????
admin,saveGuideSegments,Save guide segments,Guardar segmentos de guía,Enregistrer des segments de guide,Hilfsliniensegmente speichern,??????,???? ??????? ??? ????,????? ???? ?? ????? ????,??? ????? ??????,???????????,??? ???? ??,?????????? ????????? ????
admin,claimTokens,Claim Tokens,Reclamar tokens,Réclamer des jetons,Token beanspruchen,????,???? ?? ???? ????,???? ????,???????? ??????? ???????,???????,?? ??,????????? ???????
admin,credentials,Credentials,Credenciales,Pouvoirs,Beglaubigungsschreiben,??,???????-????,?????,????? ???????,?? ??,?? ??,??????????? ???????
admin,guides,Guides,Guías,Guides,Führer,??,??????????????,?????,????,???,???,????????????
admin,profiles,Profiles,Perfiles,Profils,Profile,?? ??,?????????,???????,????? ?????,??????,???,???????
admin,authUsers,Auth Users,Usuarios de autenticación,Utilisateurs d’authentification,Benutzer authentifizieren,??????,?????????? ??????????,??? ??????,??????? ????????,??????,??? ??,???????????? ??????????????
admin,warnings,Warnings:,Advertencias:,Avertissements:,Warnungen:,???,??????????:,???????:,?????????:,???,??:,??????????????:
admin,imported,Imported,Importado,Importé,Eingeführt,?,????,?????,??????,?????,???,?????????
admin,skipped,Skipped,Saltamos,Sauté,Gehüpft,?,???? ????,???? ??? ???,????,????,?????,????????
admin,error,Error,Error,Erreur,Fehler,??,???,????,???,???,??,??????
admin,languagesSupported,Languages supported,Idiomas admitidos,Langues prises en charge,Unterstützte Sprachen,?????,??????? ??????,????? ??? ??????,?????? ????????,????,?? ??,?????????????? ?????
admin,saveOrganisationCoverage,Save organisation coverage,Guardar cobertura de la organización,Économisez la couverture de l’organisation,Sichern Sie die Abdeckung Ihrer Organisation,????????,????? ????? ??????,????? ?? ????? ?? ????? ????,??? ????? ???????,???????????,?? ?? ?? ??,????????? ?? ????????? ???????? ???????????
admin,comment,Comment,Comentario,Commentaire,Kommentar,??,??????? ????,?????,???????,????,??,???????????
admin,categoryRatings,Category Ratings,Calificaciones de categoría,Catégories d’évaluation,Kategorie-Bewertungen,????,?????? ??????,???? ?? ???? ????[?????],??????? ?????,???????,???? ??,???????? ?????????
admin,unfreezeAccount,Unfreeze Account,Descongelar cuenta,Débloquer le compte,Konto entsperren,????,???? ??????? ????,?????? ?? ??? ????? ????,????? ????? ??????,??????????,?? ?? ??,??????????? ???????
admin,usageStatistics,Usage Statistics,Estadísticas de uso,Statistiques d’utilisation,Nutzungsstatistiken,??????,????? ?????????,??????? ?? ????? ? ????,???????? ?????????,????,?? ??,?????????? ?????????????
admin,accountOverview,Account Overview,Descripción general de la cuenta,Aperçu du compte,Kontoübersicht,????,???? ??????,?????? ?? ?????,???? ???? ??? ??????,???????,?? ??,????? ??????? ??????
admin,lastLogin,Last Login,Último inicio de sesión,Dernière connexion,Letzter Login,????,????? ?????,???? ??? ??,??? ????? ????,??????,??? ???,????????? ???? ? ???????
admin,communication,Communication,Comunicación,Communication,Kommunikation,??,?????,?????,??????,??,??,????????????
admin,totalMessages,Total Messages,Total de mensajes,Total Messages,Nachrichten insgesamt,????,??? ?????,?? ???????,?????? ???????,????????,? ??? ?,????? ?????????
admin,last30Days,Last 30 Days,Últimos 30 días,30 derniers jours,Letzte 30 Tage,?? 30 ?,????? 30 ???,???? 30 ??,??? 30 ????,?? 30 ??,?? 30?,?? ????????? 30 ????
admin,activeChats,Active Chats,Chats activos,Chats actifs,Aktive Chats,????,?????? ???,???? ????,???????? ??????,??????????,?? ??,???????? ????
admin,financial,Financial,Financiero,Financier,Finanziell,??,???????,????,????,??,????,??????????
admin,totalRevenue,Total Revenue,Ingresos totales,Chiffre d’affaires total,Gesamtumsatz,???,??? ??????,?? ?????,?????? ?????????,???,? ??,????? ???????
admin,thisMonth,This Month,Este mes,Ce mois-ci,Diesen Monat,??,?? ?????,?? ?????,??? ?????,??,??,? ???? ??????
admin,lastMonth,Last Month,Mes pasado,Passé,Letzter Monat,???,????? ?????,????? ?????,????? ??????,??,?? ?,?? ??????? ?????
admin,totalPayments,Total Payments,Pagos totales,Total des paiements,Zahlungen insgesamt,????,??? ??????,?? ?????????,?????? ?????????,?????,? ???,????? ????? ??????
admin,guideActivity,Guide Activity,Actividad de guía,Activité du guide,Guide-Aktivität,????,???? ???????,????? ??????,???? ??????,?????,??? ??,???????????? ????
admin,totalBookings,Total Bookings,Total de reservas,Total des réservations,Buchungen insgesamt,????,??? ??????,?? ????,?????? ????????,????,? ??,????? ????????????
admin,completed,Completed,Completado,Terminé,Abgeschlossen,??,???? ????,????,?????,??,??,???????????
admin,canceled,Canceled,Cancelado,Annulé,Abgebrochen,??,????,?????,????,?????,??,??????????????
admin,availabilitySet,Availability Set,Conjunto de disponibilidad,Groupe à haute disponibilité,Verfügbarkeitsgruppe,????,???????? ???,??????? ???,?????? ??????,??????,??? ??,????? ???????????
admin,visibility,Visibility,Visibilidad,Visibilité,Sichtbarkeit,???,????????-????,????,????,??,??,?????????
admin,directoryStatus,Directory Status,Estado del directorio,Statut de l’annuaire,Status des Verzeichnisses,????,?????????? ??????,????????? ?? ?????,???? ??????,????????????,???? ??,?????? ????????
admin,profileViews,Profile Views,Visualizaciones del perfil,Vues de profil,Profilansichten,?????,????????? ?????,??????? ????,??????? ????? ??????,?????,???? ?,???? ???????
admin,outOf50,Out of 5.0,De 5.0,"Sur 5,0",Von 5.0,?? 5.0 ?,5.0 ?? ????,5.0 ??? ??,?? 5.0,5.0 ???,5.0? ??,?? 5.0
admin,email,Email:,Correo electrónico:,Messagerie électronique:,E-Mail:,?????,????:,?? ???:,?????? ??????????:,??????,?? ??:,????????? ?? ??????????? ?????:
admin,country,Country:,País:,Pays:,Land:,???,?????????:,???:,???:,??,??:,??????:
admin,experience,Experience:,Experiencia:,Expérience:,Erfahrung:,???,?????:,?????:,?????:,???,??:,????:
admin,specialties,Specialties:,Especialidades:,Spécialités:,Spezialitäten:,???,???????:,???????:,????????:,???,?? ??:,??????????????:
admin,bio,Bio:,Bio:,Bio:,Bio:,???,???:,?????:,???????:,????,???:,???:
admin,hourlyRate,Hourly Rate:,Tarifa por hora:,Taux horaire :,Stundensatz:,??,????? ???? ??:,?? ????? ?? ???:,??? ??????:,???,??? ??:,????????? ??????:
admin,created,Created:,Creado:,Créé:,Erstellt:,???,?????:,?????:,?????:,???,??:,?????????:
admin,applied,Applied:,Aplicado:,Appliqué:,Angewandt:,????,???? ????:,??????:,????:,???,??:,??????????:
admin,rejectionReason,Rejection Reason:,Motivo del rechazo:,Motif du rejet :,Grund für die Ablehnung:,?????,????????? ?? ????:,????? ???? ?? ???:,??? ?????:,????:,?? ??:,??????? ??????:
admin,phone,Phone:,Teléfono:,Téléphone:,Telefon:,???,????:,???:,??????:,???,??:,???????:
admin,website,Website:,Sitio web:,Site internet:,Website:,???,???????:,??? ????:,?????? ??????????:,???????,????:,????:
admin,description,Description:,Descripción:,Description:,Beschreibung:,???,?? ???????:,????:,???:,???,??:,????????:
admin,services,Services:,Servicios:,Services:,Dienste:,????,??????:,?????:,?????:,?????,???:,??????:
admin,certifications,Certifications:,Certificaciones:,Certifications:,Bescheinigungen:,???,??????????:,??????????:,????????:,???,??:,???????????:
admin,searchByNameOr,Search by name or email...,Buscar por nombre o correo electrónico...,Recherche par nom ou par e-mail...,Suche nach Name oder E-Mail...,??????????...,??? ?? ???? ?? ?????...,??? ?? ?? ??? ?? ????? ???? ????...,????? ?????? ?? ?????? ?????????? ...,???????????????...,?? ?? ???? ??...,????? ?? ????? ??? ??????????? ?????...
admin,allStatus,All Status,Todos los estados,Tous les statuts,Alle Status,????,??? ??????,???? ?????[?????],?? ??????,?????????,?? ??,??? ???????
admin,selfie,Selfie,Selfie,Selfie,Selfie,??,??????,?????,???? ?????,?????,??,?????
admin,license,License,Licencia,Licence,Lizenz,???,???????,??????,?????,?????,??,????????
admin,idDocument,ID Document,Documento de Identidad,Document d’identité,Ausweisdokument,????,???? ?????????,?????? ???????,????? ??????,?????,???,"????????, ?????????????? ????????"
admin,logo,Logo,Logotipo,Logo,Logo,??,????,????,????,??,??,????
advertising,putYourTourismBrand,Put your tourism brand in front of verified buyers,Ponga su marca turística frente a compradores verificados,Mettez votre marque touristique devant des acheteurs vérifiés,Präsentieren Sie Ihre Tourismusmarke vor verifizierten Käufern,???????????????????,???? ?????? ?????? ?? ???????? ???????? ?? ????? ????,???? ?????? ????? ?? ????? ??? ???????? ?? ????? ?????,?? ?????? ???????? ???????? ???? ???????? ?????????,???????????????????????????,??? ????? ?? ???? ????,??????????? ???? ????????????? ????? ??????????? ???????????
advertising,bannerPlacementPackages,Banner & placement packages,Paquetes de banner y colocación,Bannières et forfaits de placement,Banner & Platzierungspakete,???????,???? ?? ????????? ?????,???? ??? ??????? ?????,????? ?????? ????????,????????????????,?? ? ?? ???,?????? ???????? ? ??????????
advertising,demandIntelligenceReports,Demand intelligence & reports,Inteligencia e informes de demanda,Renseignements sur la demande et rapports,Demand Intelligence & Berichte,???????,?????? ??????? ?? ??????? ?? ????,?????? ??? ??? ?????? ?? ????,??????? ????? ?????????,?????????????????,?? ????? ? ???,????????? ?????? ? ??????
advertising,howItWorks,How it works,Cómo funciona,Comment ça marche,So funktioniert's,????,?? ??? ??? ?????? ???? ??,?? ???? ??? ???? ??,???? ?????,???,?? ??,??? ??? ????????
advertising,weConfigurePlacementsAnd,We configure placements and intelligence feeds across the Guide Validator marketplace.,Configuramos ubicaciones y fuentes de inteligencia en todo el mercado de Guide Validator.,Nous configurons les emplacements et les flux d’informations sur la place de marché Guide Validator.,Wir konfigurieren Placements und Intelligence-Feeds auf dem Guide Validator-Marktplatz.,??? Guide Validator ????????????,?? ???? ???????????? ???????????? ??? ????????? ?? ?????????? ???? ????????? ???? ???.,?? ????? ???????? ?????? ???? ??? ??????? ??? ?????? ??? ???? ????? ???? ????,???? ?????? ??????? ??????? ????????? ??? ??? Guide Validator.,Adjust??Guide Validator???????????????????????????????????????,Guide Validator ?????? ??? ?? ?? ? ????? ??? ?????.,?? ??????????? ????? ?????????? ? ???? ????????? ?? ???????????? Guide Validator.
advertising,receiveMonthlyReportsWith,"Receive monthly reports with impressions, clicks and saved-profile metrics.","Reciba informes mensuales con impresiones, clics y métricas de perfil guardado.","Recevez des rapports mensuels avec les impressions, les clics et les statistiques de profil enregistrés.","Erhalten Sie monatliche Berichte mit Metriken zu Impressionen, Klicks und gespeicherten Profilen.",?????????????????????????????,"????????, ????? ?? ??? ?? ?? ????????? ??????? ?? ??? ????? ??????? ??????? ????.","?????? ? ???? ??? ????? ??? ??????? ?????? ?? ???? ?????? ?????? ???? ?????",???? ?????? ????? ????? ???? ?????? ???????? ??????? ????? ?????? ???????.,?????????????????????????????????????????????,"???, ???, ??? ??? ??? ??? ?? ???? ????.","????????? ??????????? ?????? ? ????????, ??????? ? ???????????? ???????????? ???????."
advertising,readyToLaunchAn,Ready to launch an advertising campaign?,¿Listo para lanzar una campaña publicitaria?,Prêt à lancer une campagne publicitaire ?,"Sind Sie bereit, eine Werbekampagne zu starten?",????????????,???????? ?????? ???? ???? ?? ??? ????? ????,??????? ??? ???? ???? ?? ??? ???? ????,?? ??? ????? ?????? ???? ????????,????????????????????????,?? ???? ??? ??? ?????,?????? ????????? ????????? ?????????
auth,dmcApplication,DMC application,Aplicación DMC,Demande DMC,DMC-Anwendung,DMC??,?????? ?????,?? ??? ?? ????? ????,????? DMC,DMC????????,DMC ??????,?????????? DMC
auth,licensedGuideApplication,Licensed guide application,Aplicación de guía con licencia,Demande de guide agréé,Lizenzierte Guide-Anwendung,??????,??????? ??????? ???? ?????,?????? ????? ????? ????? ????,????? ???? ????,??????????,???? ??? ??,??????????????? ??????????-????????????
auth,createYourGuideValidator,Create your Guide Validator account,Crea tu cuenta de Guide Validator,Créez votre compte Guide Validator,Erstellen Sie Ihr Guide Validator-Konto,???? Guide Validator ??,???? ???? ???????????? ???? ?????,???? ????? ???????? ?????? ??????,?? ?????? ???? ???? ?????? ????? ??,Guide Validator??????????,Guide ??? ??? ?? ???,???????? ???? ??????? ?????? ?????????? Guide
auth,contactSupport,Contact support,Contactar con el soporte,Contacter l’assistance,Support kontaktieren,??????,?????? ?? ?????? ????,????? ?? ????? ????,???? ??????,???????????,?? ??,????????? ?? ??????? ?????????
auth,accountCredentials,Account credentials,Credenciales de la cuenta,Informations d’identification du compte,Anmeldeinformationen für das Konto,????,???? ?????????????,?????? ?? ?????,?????? ?????? ??????,?????????,?? ?? ??,??????? ??????
auth,companyRegistration,Company Registration,Registro de la empresa,Enregistrement de la société,Firmenregistrierung,????,????? ???????,????? ????????,????? ??????,????,?? ??,??????????? ????????
auth,legalCompanyName,Legal company name,Nombre legal de la empresa,Dénomination sociale,Offizieller Firmenname,??????,?????? ????? ?? ???,?????? ????? ?? ???,??? ?????? ?????????,??????,?? ?? ??,??????????? ???????? ????????
auth,registrationNumberBusinessLicense,Registration number / business license,Número de registro / licencia comercial,Numéro d’enregistrement / licence d’exploitation,Registrierungsnummer / Gewerbeschein,???/????,??????? ??????/??????? ???????,???????? ???? / ???????? ??????,??? ??????? / ?????? ????????,??????????,????/??????,??????????????? ????? / ???????? ?? ??????????????????? ????????????
auth,businessAddress,Business address,Dirección comercial,Adresse professionnelle,Geschäftsadresse,????,??????? ?? ???,???????? ???,????? ?????,??????,??? ??,??????????? ?????
auth,officialContactDetails,Official contact details,Datos de contacto oficiales,Coordonnées officielles,Offizielle Kontaktdaten,??????,???????? ?????? ?????,?????? ????? ?? ???????,?????? ??????? ???????,?????,?? ???,??????????? ?????????? ??????
auth,businessEmail,Business email,Correo electrónico empresarial,E-mail professionnel,Geschäftliche E-Mail-Adresse,??????,??????? ????,???????? ?? ???,?????? ?????????? ?????? ???????,???????,???? ???,????????????? ??????????? ?????
auth,phoneWhatsapp,Phone / WhatsApp,Teléfono / WhatsApp,Téléphone / WhatsApp,Telefon / WhatsApp,?? / WhatsApp,???/?????????,??? / ???? ???,?????? / ????????,?? / WhatsApp,?? / ???,??????? / WhatsApp
auth,websiteUrl,Website URL,URL del sitio web,URL du site Web,Website URL,????,??????? URL,??? ???? ?? ?? ?? ???,????? URL ??????,??????URL,???? URL,URL-????? ?????
auth,taxIdVatNumber,Tax ID / VAT number,Número de identificación fiscal / Número de IVA,Numéro d’identification fiscale / Numéro de TVA,Steuer-ID / Umsatzsteuer-Identifikationsnummer,??/????,????? ????/??? ????,???? ??? ?? / ?? ?? ?? ????,?????? ??????? / ??? ????? ?????? ???????,?????/VAT??,?? ID / VAT ??,????????????????? ????? ????????????????? / ????? ??????????? ???
auth,socialMediaLinks,Social media links,Enlaces a redes sociales,Liens vers les médias sociaux,Links zu sozialen Medien,??????,???? ?????? ????,???? ????? ????,????? ????? ??????? ?????????,????????????,?? ??? ??,?????? ?? ?????????? ????
auth,instagramHttpsinstagramcomyouragencynlinkedinHttpslinkedincomcompanyyouragency,instagram | https://instagram.com/youragency\nlinkedin | https://linkedin.com/company/youragency,Instagram | https://instagram.com/youragency\nLinkedIn | https://linkedin.com/company/youragency,Sur Instagram | https://instagram.com/youragency\nlinkedin | https://linkedin.com/company/youragency,Auf Instagram | https://instagram.com/youragency\nlinkedin | https://linkedin.com/company/youragency,Instagram? |https://instagram.com/youragency\n?? |https://linkedin.com/company/youragency,??????????? | https://instagram.com/youragency\nlinkedin | https://linkedin.com/company/youragency,????????? | https://instagram.com/youragency\n???? ?? | https://linkedin.com/company/youragency,???????? | https://instagram.com/youragency\n????? ?? | https://linkedin.com/company/youragency,??????? |https://instagram.com/youragency\n?????? |https://linkedin.com/company/youragency,????? | https://instagram.com/youragency\n???? | https://linkedin.com/company/youragency,????????? | https://instagram.com/youragency\nlinkedin | https://linkedin.com/company/youragency
auth,uploadAgencyLicense,Upload agency license,Cargar licencia de agencia,Téléchargement de la licence d’agence,Agenturlizenz hochladen,???????,?????? ??????? ????? ????,?????? ?? ?????? ?? ??? ????,????? ????? ?????,???????????????,??? ???? ???,????????? ????????? ????????
auth,publicProfile,Public profile,Perfil público,Profil public,Öffentliches Profil,????,????????? ?????????,????? ???????,????? ?????? ?????,????????,?? ???,????????? ???????
auth,logoUrl,Logo URL,URL del logotipo,Logo URL,Logo-URL,????,???? URL,????? (????) ?? URL,????? URL ??????,??URL,?? URL,URL ????????
auth,proofOfActivityUrl,Proof of activity URL,URL de prueba de actividad,URL de la preuve d’activité,URL für den Aktivitätsnachweis,???? URL,??????? URL ?? ??????,?????? ?? ?? ?? ??? ?? ????,????? URL ?????? ??????,?????????? URL,?? ?? URL,"URL-?????, ?????????????? ????????"
auth,representative,Representative,Representante,Représentant,Vertreter,??,?????????,???????,????,??,??,?????????????
auth,contactPersonName,Contact person name,Nombre de la persona de contacto,Nom de la personne de contact,Name der Kontaktperson,?????,?????? ??????? ?? ???,????? ??? ?? ???,??? ??? ???????,????,??? ??,??? ??????????? ????
auth,positionRole,Position / role,Posición / rol,Poste / rôle,Position / Rolle,??/??,??/??????,???? / ?????,?????? / ?????,?????,??·??,????????? / ????
auth,email,Email,Correo electrónico,Messagerie électronique,E-Mail,????,????,?? ???,?????? ??????????,?????,?? ??,????????? ?? ??????????? ?????
auth,phone,Phone,Teléfono,Téléphone,Telefon,??,????,???,??????,??,??,???????
auth,idPassportCopy,ID / passport copy,Copia de DNI / pasaporte,Copie d’une pièce d’identité / passeport,Kopie des Personalausweises / Reisepasses,???/?????,????/???????? ????,?????? ???? / ??????? ?? ????,???? ?? ?????? / ???? ?????,?????/?????????,???/?? ??,????? ????????????? ???????? / ????????
auth,servicesPortfolio,Services & portfolio,Servicios y cartera,Services et portefeuille,Leistungen & Portfolio,???????,?????? ?? ???????????,????? ??? ???? ?????,??????? ????????,????????????,??? ? ?????,?????? ? ?????????
auth,servicesOffered,Services offered,Servicios ofrecidos,Services proposés,Angebotene Dienstleistungen,?????,?????? ?? ???? ???,??? ???? ?????,??????? ???????,?????????,???? ???,???????????? ??????
auth,nicheFocus,Niche focus,Enfoque de nicho,Concentration sur le créneau,Nischenfokus,????,??? ????,??? ????,??????? ???????,??????,?? ??,?????????????????????? ??????????????
auth,certificationsMemberships,Certifications & memberships,Certificaciones y membresías,Certifications et adhésions,Zertifizierungen & Mitgliedschaften,???????,?????????? ?? ???????,?????????? ??? ?????,???????? ?????????,????????????,?? ? ???,??????????? ? ????????
auth,iatanastanlocalTourismBoard,IATA\nASTA\nLocal tourism board,IATA\nASTA\nJunta de turismo local,IATA\nASTA\nOffice local du tourisme,IATA\nASTA\nLokaler Tourismusverband,????????\nASTA\n?????,IATA\nASTA\n??????? ?????? ?????,IATA\nASTA\n????? ????? ????,IATA\nASTA\n???? ??????? ??????,IATA\nASTA\n??????,IATA\nASTA\n?? ???,IATA\nASTA\n??????? ????? ?? ???????
auth,portfolioLinks,Portfolio links,Enlaces de portafolio,Liens vers le portfolio,Portfolio-Verknüpfungen,??????,??????????? ????,???? ????? ????,????? ???????,???????????,????? ??,?????? ?? ?????????
auth,testimonials,Testimonials,Testimonios,Témoignages,Empfehlungsschreiben,??,???????????,?????,??????,?,??,??????
auth,clientNameShortTestimonial,Client name - short testimonial,Nombre del cliente - breve testimonio,Nom du client - court témoignage,Name des Kunden - kurzer Erfahrungsbericht,???? - ????,?????? ?? ??? - ??? ???????????,?????? ?? ??? - ????? ???????,??? ?????? - ????? ?????,??????? - ????,?? ?? - ?? ??,??? ??????? - ??????? ?????
auth,companyDescriptionMission,Company description / mission,Descripción de la empresa / misión,Description de l’entreprise / mission,Unternehmensbeschreibung / Mission,????/??,????? ?????/????,????? ?? ????? / ???,??? ?????? / ??????,??????????,?? ??/??,???????? ???????? / ??????
auth,availabilityContact,Availability & contact,Disponibilidad y contacto,Disponibilité & contact,Verfügbarkeit & Kontakt,????????,???????? ?? ??????,??????? ??? ?????,?????? ????????,????????,??? ? ???,??????????? ? ????????
auth,availableDailyExceptMondays,Available daily except Mondays. Peak season surcharges apply,Disponible todos los días excepto los lunes. Se aplican recargos por temporada alta,Disponible tous les jours sauf le lundi. Des frais supplémentaires s’appliquent en haute saison,Täglich außer montags verfügbar. In der Hochsaison fallen Zuschläge an,?????????????????,?????? ?? ?????? ????? ?????? ??? ??? ???? ?????? ???? ???? ???,??? ?? ???? ?? ?????? ?????? ??. ??? ???? ??????? ???? ???? ???,????? ????? ?? ??? ??? ???????. ???? ???? ?????? ????? ??????,?????????????????????????????????????,???? ???? ?? ?? ?????. ??? ??? ??,"???????? ?????????, ????? ????????????. ? ??????? ????? ????????? ?????????????? ?????"
auth,preferredContactChannels,Preferred contact channels,Canales de contacto preferidos,Canaux de contact privilégiés,Bevorzugte Kontaktkanäle,??????,??????? ?????? ????,??????? ????? ?????,????? ??????? ???????,???????????,???? ?? ??,???????????????? ?????? ?????
auth,subscriptionBilling,Subscription & billing,Suscripción y facturación,Abonnement et facturation,Abonnement & Abrechnung,?????,??????? ?? ??????,???????? ??? ????,???????? ?????????,????????????,?? ? ??,???????? ? ??????????? ??????
auth,selectYourPlan,Select your plan,Selecciona tu plan,Sélectionnez votre forfait,Wählen Sie Ihren Plan,??????,???? ????? ?? ??? ????,???? ?????? ????? ????,???? ????,????????????,??? ??,???????? ???? ???????? ????
auth,billingNotes,Billing notes,Notas de facturación,Notes de facturation,Hinweise zur Abrechnung,????,?????? ?????,???? ???,??????? ???????,???,?? ??,?????????
auth,legalBillingEntityVat,"Legal billing entity, VAT rules, etc","Entidad legal de facturación, normas del IVA, etc.","Entité de facturation légale, règles de TVA, etc","Juristische Abrechnungsstelle, Mehrwertsteuervorschriften usw",?????????????,"?????? ?????? ????, ??? ????, ???","?????? ???? ?????? VAT ?????? ?????",???? ??????? ???????? ?????? ????? ?????? ??????? ??? ??? ???,???????VAT ?????,"?? ?? ??, VAT ?? ?","??????????? ????, ???????????? ?????, ??????? ??? ? ?.?"
auth,companyRegistration2,Company registration,Registro de la empresa,Enregistrement de la société,Registrierung von Unternehmen,????,????? ???????,????? ????????,????? ??????,????,?? ??,??????????? ????????
auth,legalEntityName,Legal entity name,Nombre de la entidad jurídica,Dénomination sociale de l’entité juridique,Name der juristischen Person,????,?????? ???? ?? ???,?????? ???? ?? ???,??? ?????? ????????,???,?? ??,???????????? ???????????? ????
auth,registrationTradeLicenseNumber,Registration / trade license number,Número de registro / licencia comercial,Numéro d’enregistrement / de licence commerciale,Registrierungs-/Gewerbescheinnummer,??/??????,??????? / ??????? ??????? ??????,???????? / ???? ?????? ????,??? ??????? / ?????? ????????,?????????,??/?? ?? ??,????? ??????????????? / ???????? ????????
auth,countryOfIncorporation,Country of incorporation,País de constitución,Pays de constitution,Land der Gründung,????,????? ?? ???,???? ?? ???,??? ???????,???,?? ?? ??,?????? ???????????
auth,officeAddress,Office address,Dirección de la oficina,Adresse du bureau,Büroadresse,????,???????? ?? ???,???? ?? ???,????? ??????,??????,??? ??,????? ?????
auth,officialEmail,Official email,Correo electrónico oficial,Courriel officiel,Offizielle E-Mail,????,???????? ????,?????? ?? ???,?????? ??????,?????,?? ???,??????????? ??????????? ?????
auth,taxVatNumber,Tax / VAT number,Número de impuesto / IVA,Numéro fiscal / TVA,Steuer-/Umsatzsteuer-Identifikationsnummer,??/????,?????/??? ????,????/ ?? ?? ?? ????,??? ??????? / ????? ?????? ???????,???/VAT??,??/????? ??,????????? ????? / ????? ??????????? ???
auth,licenseAccreditationUploadLink,License / accreditation upload link,Enlace de carga de licencia / acreditación,Lien de téléchargement de la licence / accréditation,Link zum Hochladen von Lizenzen / Akkreditierungen,???/??????,??????? / ??????? ????? ????,?????? / ??????????? ?? ??? ???,???? ????? ??????? / ????????,?????/????????????,????/?? ??? ??,?????? ??? ???????? ???????? / ????????????
auth,membershipsOnePerLine,Memberships (one per line),Membresías (una por línea),Adhésions (une par ligne),Mitgliedschaften (eine pro Zeile),??????????,??????? (????? ?????? ??),????? (??? ?? ????),??????? (????? ??? ???),???????(1????1?),???(??? 1?),???????? (?? ?????? ?? ?????)
auth,aboutUsMissionStatement,About us / mission statement,Sobre nosotros / declaración de misión,À propos de nous / énoncé de mission,Über uns / Leitbild,???? / ????,????? ???? ???/???? ???????,????? ???? ??? / ??? ?? ????,?? ??? / ???? ??????,???????/????????????,?? ?? / ?? ???,? ??? / ??????
auth,keyContactName,Key contact name,Nombre clave del contacto,Nom de la personne-ressource clé,Name des Schlüsselkontakts,???????,????? ?????? ???,????? ????? ?? ???,??? ??? ??????? ????????,??????,? ??? ??,??? ??????????? ????
auth,position,Position,Posición,Position,Position,??,??,??????,????,??,??,???????
auth,destinationCoverageServices,Destination coverage & services,Cobertura y servicios de destino,Couverture et services de destination,Abdeckung und Dienstleistungen der Destinationen,??????????,?????? ????? ?? ??????,???? ?? ????? ??? ?????,????? ?????? ????????,?????????????,??? ?? ?? ? ???,????? ??????????? ? ??????
auth,portfolioMedia,Portfolio & media,Portafolio y medios,Portfolio & médias,Portfolio & Medien,??????,??????????? ?? ??????,???? ????? ??? ?????,??????? ????????,????????????,????? & ???,????????? ? ?????
auth,highlightProjectsTitleLink,Highlight projects (title | link per line),Proyectos destacados (título | enlace por línea),Mettre en avant les projets (titre | lien par ligne),Projekte hervorheben (Titel | Link pro Zeile),????????? | ?????,????????? ??????? ???? (?????? | ???? ????? ??????),??????? ?? ?????? ???? (????? | ??? ?? ????),????? ????? ??? ???????? (??????? | ???? ??? ???),????????????? (???? | ???????),???? ?? ??(?? | ?? ??),????????? ???????? (???????? | ?????? ? ??????)
auth,photosOrVideosTitle,Photos or videos (title | link),Fotos o vídeos (título | enlace),Photos ou vidéos (titre | lien),Fotos oder Videos (Titel | Link),???????? | ???,????? ?? ?????? (?????? | ????),?????? ?? ?????? (????? | ???),????? ?? ????? ??????? (??????? | ??????),?????(???? | ???),?? ?? ???(?? | ??),???? ??? ????? (???????? | ??????)
auth,eventHighlightHttps,Event highlight | https://...,Evento destacado | https://...,Temps fort de l’événement | https://...,Höhepunkt der Veranstaltung | https://...,???? |https://...,????? ??????? | https://...,????? ?? ??????? https://...,????? ????? ??? ????? | https://...,????????? |https://...,?? ????? | https://...,???????? ??????? ??????? | https://...
auth,clientReferencesNameTestimoniallink,Client references (name | testimonial/link),Referencias de clientes (nombre | testimonio/enlace),Références clients (nom | témoignage/lien),Kundenreferenzen (Name | Erfahrungsbericht/Link),???????? | ??/???,?????? ?????? (??? | ???????????/????),?????? ?? ????? ??? (??? | ?????/???),????? ??????? (????? | ??????? / ??????),??????????? (?? | ?????/???),????? ??(?? | ????/??),?????? ???????? (??? | ?????/??????)
auth,typicalResponseTime,Typical response time,Tiempo de respuesta típico,Temps de réponse typique,Typische Reaktionszeit,??????,??????? ??????????? ???,??? ????? ?? ???,??? ????????? ????????,????????,???? ?? ??,???????? ????? ???????
auth,within24Hours,Within 24 hours,Dentro de las 24 horas,Dans les 24 heures,Innerhalb von 24 Stunden,24???,24 ???? ?? ????,24 ?????? ?? ????,?? ???? 24 ????,24????,24?? ??,? ??????? 24 ?????
auth,practicalInformationOfficeHours,"Practical information (office hours, response time)","Información práctica (horario de oficina, tiempo de respuesta)","Informations pratiques (horaires de bureau, temps de réponse)","Praktische Informationen (Sprechzeiten, Reaktionszeit)",???????????????,"?????????? ??????? (???????? ???, ??????????? ???)","???? ??????? (???? ?? ?????? ???? ?? ???)","??????? ????? (????? ????? ? ??? ?????????)",??????(?????????),"???? ??(?? ??, ?? ??)","???????????? ?????????? (???? ??????, ????? ??????)"
